Red,Green,Blue
0.238,0.333,0.429
0.211,0.316,0.474
0.211,0.316,0.474
0.238,0.333,0.429
0.250,0.300,0.450
0.211,0.316,0.474
0.250,0.300,0.450
0.238,0.333,0.429
0.211,0.316,0.474
0.211,0.316,0.474
0.250,0.300,0.450
0.238,0.333,0.429
0.211,0.316,0.474
0.211,0.316,0.474
0.238,0.333,0.429
0.250,0.300,0.450
0.211,0.316,0.474
0.211,0.316,0.474
0.238,0.333,0.429
0.250,0.300,0.450
0.211,0.316,0.474
0.250,0.300,0.450
0.238,0.333,0.429
0.211,0.316,0.474
0.238,0.333,0.429
0.238,0.333,0.429
0.211,0.316,0.474
0.211,0.316,0.474
0.250,0.300,0.450
0.238,0.333,0.429
0.211,0.316,0.474
0.211,0.316,0.474
0.250,0.300,0.450
0.250,0.300,0.450
0.211,0.316,0.474
0.211,0.316,0.474
0.238,0.333,0.429
0.250,0.300,0.450
0.211,0.316,0.474
0.211,0.316,0.474
0.238,0.333,0.429
0.211,0.316,0.474
0.211,0.316,0.474
0.211,0.316,0.474
0.250,0.300,0.450
0.250,0.300,0.450
0.211,0.316,0.474
0.211,0.316,0.474
0.238,0.333,0.429
0.250,0.300,0.450
0.211,0.316,0.474
0.211,0.316,0.474
0.250,0.300,0.450
0.211,0.316,0.474
0.211,0.316,0.474
0.211,0.316,0.474
0.211,0.316,0.474
0.211,0.316,0.474
0.211,0.316,0.474
0.211,0.316,0.474
0.250,0.300,0.450
0.211,0.316,0.474
0.211,0.316,0.474
0.211,0.316,0.474
0.250,0.300,0.450
0.211,0.316,0.474
0.211,0.316,0.474
0.211,0.316,0.474
0.211,0.316,0.474
0.250,0.300,0.450
0.211,0.316,0.474
0.211,0.316,0.474
0.211,0.316,0.474
0.250,0.300,0.450
0.211,0.316,0.474
0.211,0.316,0.474
0.250,0.300,0.450
0.250,0.300,0.450
0.211,0.316,0.474
0.211,0.316,0.474
0.211,0.316,0.474
0.238,0.333,0.429
0.211,0.316,0.474
0.211,0.316,0.474
0.250,0.300,0.450
0.238,0.333,0.429
0.211,0.316,0.474
0.211,0.316,0.474
0.250,0.300,0.450
0.238,0.333,0.429
0.250,0.300,0.450
0.211,0.316,0.474
0.238,0.333,0.429
0.238,0.333,0.429
0.250,0.300,0.450
0.211,0.316,0.474
0.238,0.333,0.429
0.238,0.333,0.429
0.238,0.333,0.429
0.211,0.316,0.474
0.211,0.316,0.474
0.238,0.333,0.429
0.250,0.300,0.450
0.250,0.300,0.450
0.211,0.316,0.474
0.211,0.316,0.474
0.250,0.300,0.450
0.238,0.333,0.429
0.211,0.316,0.474
0.211,0.316,0.474
0.238,0.333,0.429
