Red,Green,Blue
0.464,0.298,0.237
0.461,0.300,0.239
0.459,0.302,0.239
0.456,0.304,0.241
0.454,0.303,0.243
0.453,0.304,0.243
0.455,0.301,0.244
0.456,0.300,0.244
0.460,0.297,0.243
0.464,0.293,0.243
0.468,0.289,0.243
0.473,0.286,0.241
0.478,0.283,0.239
0.482,0.278,0.240
0.486,0.274,0.240
0.490,0.269,0.241
0.492,0.264,0.244
0.494,0.262,0.244
0.494,0.261,0.245
0.494,0.261,0.245
0.494,0.260,0.246
0.494,0.260,0.246
0.495,0.259,0.247
0.495,0.259,0.246
0.495,0.260,0.245
0.495,0.261,0.244
0.493,0.263,0.244
0.493,0.264,0.243
0.492,0.266,0.242
0.493,0.266,0.241
0.494,0.266,0.240
0.495,0.266,0.240
0.494,0.266,0.240
0.494,0.266,0.239
0.493,0.268,0.239
0.491,0.269,0.240
0.490,0.271,0.239
0.488,0.272,0.239
0.486,0.275,0.239
0.486,0.275,0.239
0.485,0.276,0.239
0.485,0.277,0.238
0.485,0.277,0.237
0.487,0.276,0.237
0.488,0.276,0.237
0.490,0.275,0.236
0.492,0.273,0.236
0.493,0.272,0.235
0.495,0.270,0.235
0.497,0.269,0.234
0.499,0.268,0.233
0.501,0.268,0.232
0.503,0.265,0.232
0.506,0.262,0.233
0.509,0.259,0.233
0.511,0.257,0.232
0.512,0.256,0.232
0.514,0.256,0.230
0.513,0.260,0.227
0.512,0.265,0.223
0.510,0.273,0.217
0.505,0.283,0.212
0.501,0.287,0.212
0.501,0.281,0.218
0.499,0.276,0.225
0.497,0.274,0.229
0.492,0.275,0.233
0.485,0.281,0.234
0.480,0.285,0.236
0.475,0.288,0.237
0.469,0.294,0.237
0.462,0.299,0.239
0.455,0.309,0.236
0.450,0.317,0.233
0.450,0.318,0.231
0.453,0.318,0.230
0.456,0.315,0.229
0.456,0.314,0.230
0.459,0.313,0.228
0.461,0.312,0.227
0.466,0.306,0.228
0.470,0.303,0.228
0.471,0.301,0.228
0.475,0.293,0.231
0.475,0.294,0.231
0.475,0.297,0.229
0.474,0.294,0.231
0.472,0.298,0.230
0.471,0.298,0.231
0.472,0.298,0.231
0.472,0.297,0.231
0.474,0.295,0.231
0.477,0.291,0.232
0.480,0.286,0.234
0.486,0.279,0.235
0.492,0.273,0.235
0.497,0.271,0.232
0.499,0.273,0.228
0.501,0.281,0.219
0.501,0.287,0.212
0.503,0.284,0.213
0.505,0.280,0.215
0.506,0.277,0.217
0.506,0.277,0.217
0.506,0.275,0.219
0.507,0.271,0.222
0.506,0.270,0.224
0.505,0.265,0.229
0.504,0.262,0.235
0.501,0.263,0.236
0.498,0.264,0.238
0.497,0.264,0.239
0.498,0.263,0.239
0.498,0.261,0.241
0.497,0.260,0.243
0.496,0.259,0.245
0.495,0.256,0.249
0.496,0.251,0.253
0.497,0.247,0.256
0.497,0.244,0.259
0.496,0.243,0.261
0.494,0.243,0.263
0.489,0.244,0.268
0.484,0.245,0.271
0.483,0.247,0.270
0.484,0.250,0.265
0.487,0.254,0.259
0.489,0.257,0.254
0.491,0.259,0.250
0.492,0.260,0.248
0.492,0.260,0.247
0.492,0.261,0.247
0.491,0.262,0.247
0.490,0.262,0.248
0.487,0.262,0.251
0.485,0.261,0.254
0.482,0.261,0.257
0.479,0.260,0.261
0.476,0.261,0.263
0.476,0.261,0.263
0.476,0.260,0.264
0.478,0.257,0.265
0.481,0.253,0.266
0.485,0.248,0.267
0.487,0.246,0.267
0.489,0.244,0.267
0.491,0.243,0.267
0.493,0.241,0.265
0.496,0.241,0.264
0.498,0.240,0.262
0.499,0.240,0.261
0.500,0.240,0.260
0.500,0.240,0.260
0.502,0.239,0.259
0.504,0.239,0.257
0.504,0.240,0.256
0.503,0.242,0.255
0.501,0.243,0.255
0.499,0.246,0.255
0.497,0.248,0.255
0.494,0.249,0.256
0.494,0.250,0.256
0.494,0.250,0.256
0.494,0.249,0.257
0.495,0.249,0.256
0.495,0.249,0.257
0.495,0.249,0.256
0.495,0.249,0.256
0.494,0.250,0.256
0.493,0.250,0.257
0.493,0.250,0.257
0.493,0.251,0.257
0.493,0.251,0.257
0.494,0.251,0.256
0.495,0.251,0.255
0.496,0.251,0.253
0.498,0.253,0.249
0.499,0.253,0.248
0.499,0.254,0.247
0.500,0.254,0.246
0.499,0.254,0.247
0.499,0.254,0.247
0.500,0.254,0.247
0.500,0.255,0.245
0.500,0.255,0.245
0.499,0.255,0.245
0.499,0.256,0.245
0.499,0.256,0.245
0.499,0.256,0.245
0.498,0.257,0.245
0.498,0.257,0.245
0.498,0.258,0.244
0.498,0.258,0.244
0.498,0.258,0.245
0.497,0.257,0.246
0.496,0.257,0.247
0.495,0.256,0.249
0.496,0.255,0.250
0.496,0.253,0.250
0.497,0.254,0.250
0.498,0.254,0.248
0.500,0.254,0.246
0.501,0.254,0.245
0.503,0.253,0.244
0.503,0.254,0.243
0.503,0.254,0.242
0.503,0.254,0.242
0.503,0.254,0.243
0.503,0.253,0.244
0.503,0.252,0.245
0.504,0.250,0.245
0.504,0.250,0.246
0.505,0.249,0.246
0.504,0.250,0.246
0.501,0.250,0.249
0.496,0.252,0.252
0.493,0.254,0.253
0.493,0.257,0.250
0.494,0.260,0.246
0.494,0.263,0.243
0.496,0.261,0.242
0.502,0.257,0.241
0.507,0.252,0.241
0.510,0.249,0.240
0.512,0.248,0.241
0.515,0.245,0.240
0.516,0.244,0.240
0.517,0.244,0.239
0.519,0.243,0.238
0.520,0.243,0.237
0.520,0.243,0.237
0.521,0.243,0.236
0.521,0.243,0.236
0.521,0.243,0.235
0.521,0.244,0.235
0.521,0.246,0.232
0.520,0.249,0.231
0.518,0.255,0.227
0.516,0.260,0.224
0.513,0.265,0.222
0.512,0.265,0.223
0.511,0.265,0.224
0.511,0.264,0.225
0.511,0.264,0.225
0.511,0.261,0.227
0.511,0.262,0.226
0.511,0.262,0.227
0.510,0.262,0.228
0.509,0.264,0.228
0.509,0.263,0.228
0.509,0.261,0.230
0.509,0.260,0.231
0.509,0.259,0.232
0.510,0.259,0.231
0.511,0.260,0.230
0.511,0.261,0.228
0.512,0.261,0.227
0.513,0.262,0.225
0.513,0.262,0.226
0.514,0.260,0.226
0.513,0.257,0.230
0.513,0.254,0.233
0.511,0.253,0.236
0.509,0.253,0.238
0.505,0.255,0.241
0.499,0.258,0.243
0.495,0.260,0.245
0.494,0.259,0.247
0.494,0.259,0.248
0.493,0.258,0.249
0.493,0.258,0.249
0.494,0.258,0.247
